epoch,loss,acc_subspace0,acc_subspace1,acc_subspace2,lr,epoch_time_s,total_time_min
86,2.6315,50.00,0.00,0.00,0.030000,224.0,314.1
87,2.6424,53.12,0.00,0.00,0.030000,225.3,317.9
88,2.5851,58.20,0.00,0.00,0.030000,226.4,321.6
89,2.5402,51.17,0.00,0.00,0.030000,246.7,325.8
90,2.5400,52.73,0.00,0.00,0.030000,250.2,329.9
91,2.5346,54.30,0.00,0.00,0.030000,233.8,333.8
92,2.5095,53.52,0.00,0.00,0.030000,235.6,337.8
93,2.4596,55.08,0.00,0.00,0.030000,239.0,341.7
94,2.4565,56.25,0.00,0.00,0.030000,235.4,345.7
95,2.4321,49.61,0.00,0.00,0.030000,245.2,349.7
96,2.3900,50.39,0.00,0.00,0.030000,245.5,353.8
97,2.3867,55.47,0.00,0.00,0.030000,240.1,357.8
98,2.3539,57.42,0.00,0.00,0.030000,230.8,361.7
99,2.3422,57.03,0.00,0.00,0.030000,240.7,365.7
100,2.3204,56.25,0.00,0.00,0.030000,243.4,369.8
101,2.2976,57.81,0.00,0.00,0.030000,247.7,373.9
102,2.2902,60.55,0.00,0.00,0.030000,229.6,377.7
103,2.2497,60.55,0.00,0.00,0.030000,234.5,381.6
104,2.2599,64.06,0.00,0.00,0.030000,227.8,385.4
105,2.2352,56.25,0.00,0.00,0.030000,240.4,389.4
106,2.2086,57.03,0.00,0.00,0.030000,238.2,393.4
107,2.1762,62.11,0.00,0.00,0.030000,243.4,397.5
108,2.1537,62.50,0.00,0.00,0.030000,235.9,401.4
109,2.1568,60.94,0.00,0.00,0.030000,240.4,405.4
110,2.1316,62.11,0.00,0.00,0.030000,233.3,409.3
111,2.1063,62.89,0.00,0.00,0.030000,233.8,413.2
112,2.0977,60.94,0.00,0.00,0.030000,237.1,417.2
113,2.0555,65.62,0.00,0.00,0.030000,216.2,420.8
114,2.0736,57.81,0.00,0.00,0.030000,220.3,424.4
115,2.0396,60.55,0.00,0.00,0.030000,220.8,428.1
116,2.0103,64.06,0.00,0.00,0.030000,218.1,431.7
117,2.0135,67.19,0.00,0.00,0.030000,219.6,435.4
118,2.0088,63.28,0.00,0.00,0.030000,216.2,439.0
119,1.9704,59.77,0.00,0.00,0.030000,224.4,442.8
120,1.9749,66.02,0.00,0.00,0.030000,221.4,446.4
121,1.9542,61.72,0.00,0.00,0.030000,217.9,450.1
122,1.9502,61.72,0.00,0.00,0.030000,216.0,453.7
123,1.9209,63.67,0.00,0.00,0.030000,215.7,457.3
124,1.9092,65.23,0.00,0.00,0.030000,220.5,461.0
125,1.8874,64.84,0.00,0.00,0.030000,217.7,464.6
126,1.8862,57.81,0.00,0.00,0.030000,216.0,468.2
127,1.8420,64.84,0.00,0.00,0.030000,222.7,471.9
128,1.8572,66.02,0.00,0.00,0.030000,216.8,475.5
129,1.8346,67.19,0.00,0.00,0.030000,217.2,479.1
130,1.8456,62.50,0.00,0.00,0.030000,218.9,482.8
131,1.8119,65.23,0.00,0.00,0.030000,217.0,486.4
132,1.8122,67.97,0.00,0.00,0.030000,221.1,490.1
133,1.7917,64.84,0.00,0.00,0.030000,219.7,493.8
134,1.7798,66.80,0.00,0.00,0.030000,221.4,497.4
135,1.7606,65.62,0.00,0.00,0.030000,220.2,501.1
136,1.7512,66.80,0.00,0.00,0.030000,219.4,504.8
137,1.7260,65.23,0.00,0.00,0.030000,221.7,508.5
138,1.7069,69.14,0.00,0.00,0.030000,213.4,512.0
139,1.7019,70.70,0.00,0.00,0.030000,217.0,515.6
140,1.6914,62.89,0.00,0.00,0.030000,216.7,519.3
141,1.6917,64.06,0.00,0.00,0.030000,216.4,522.9
142,1.6969,69.92,0.00,0.00,0.030000,215.4,526.5
143,1.6715,71.09,0.00,0.00,0.030000,216.0,530.1
144,1.6687,66.80,0.00,0.00,0.030000,218.4,533.7
145,1.6537,65.62,0.00,0.00,0.030000,225.9,537.5
146,1.6550,73.44,0.00,0.00,0.030000,222.2,541.2
147,1.6532,62.50,0.00,0.00,0.030000,213.4,544.7
148,1.6342,68.75,0.00,0.00,0.030000,215.3,548.3
149,1.6219,69.53,0.00,0.00,0.030000,213.7,551.9
150,1.5958,71.09,0.00,0.00,0.030000,216.6,555.5
151,1.5962,69.14,0.00,0.00,0.030000,217.0,559.1
152,1.5768,66.80,0.00,0.00,0.030000,215.9,562.7
153,1.5827,67.19,0.00,0.00,0.030000,221.1,566.4
154,1.5776,71.88,0.00,0.00,0.030000,225.2,570.2
155,1.5669,75.39,0.00,0.00,0.030000,214.4,573.7
156,1.5470,73.44,0.00,0.00,0.030000,216.2,577.3
157,1.5513,70.70,0.00,0.00,0.030000,218.5,581.0
158,1.5348,74.22,0.00,0.00,0.030000,219.5,584.6
159,1.5247,70.31,0.00,0.00,0.030000,222.9,588.3
160,1.5098,62.50,0.00,0.00,0.030000,218.7,592.0
161,1.5068,69.92,0.00,0.00,0.030000,218.8,595.6
162,1.4804,66.80,0.00,0.00,0.030000,222.9,599.4
163,1.4823,72.66,0.00,0.00,0.030000,214.4,602.9
164,1.4813,78.52,0.00,0.00,0.030000,216.9,606.5
165,1.4604,69.53,0.00,0.00,0.030000,226.8,610.3
166,1.4510,73.44,0.00,0.00,0.030000,217.1,613.9
167,1.4411,75.00,0.00,0.00,0.030000,219.7,617.6
168,1.4321,73.05,0.00,0.00,0.030000,215.0,621.2
169,1.4328,75.78,0.00,0.00,0.030000,218.4,624.8
170,1.4298,74.61,0.00,0.00,0.030000,219.6,628.5
171,1.4034,73.44,0.00,0.00,0.030000,214.7,632.1
172,1.4082,73.83,0.00,0.00,0.030000,215.8,635.7
173,1.4151,68.75,0.00,0.00,0.030000,223.3,639.4
174,1.3919,74.22,0.00,0.00,0.030000,216.4,643.0
175,1.3843,80.47,0.00,0.00,0.030000,216.6,646.6
176,1.3587,74.61,0.00,0.00,0.030000,212.9,650.2
177,1.3660,75.00,0.00,0.00,0.030000,217.2,653.8
178,1.3662,73.83,0.00,0.00,0.030000,219.7,657.5
179,1.3462,68.75,0.00,0.00,0.030000,217.0,661.1
180,1.3478,76.56,0.00,0.00,0.030000,215.3,664.7
181,1.3422,75.78,0.00,0.00,0.030000,217.8,668.3
182,1.3413,78.52,0.00,0.00,0.030000,215.0,671.9
183,1.3309,77.34,0.00,0.00,0.030000,223.0,675.6
184,1.3313,73.83,0.00,0.00,0.030000,226.1,679.4
185,1.3186,75.00,0.00,0.00,0.030000,215.1,682.9
186,1.3135,75.78,0.00,0.00,0.030000,216.0,686.5
187,1.3027,78.91,0.00,0.00,0.030000,218.0,690.2
188,1.2930,72.66,0.00,0.00,0.030000,215.0,693.8
189,1.2879,80.86,0.00,0.00,0.030000,215.3,697.4
190,1.2907,77.34,0.00,0.00,0.030000,215.0,700.9
191,1.2773,75.78,0.00,0.00,0.030000,218.5,704.6
